--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| s                                                  | rel                                                | gname      | fname      | position_fr                  | position_en                   | orgLabel_fr                             | orgLabel_en                          | posType                                                          |
========================================================================================================================================================================================================================================================================================================================================================
| <http://localhost:8080/vivo_i18n/individual/n1158> | <http://localhost:8080/vivo_i18n/individual/n1927> | "Claudia"  | "Martinez" | "Chercheur Associé"          | "Postdoctoral Researcher"     | "Physique"                              | "Physics"                            | <http://vivoweb.org/ontology/core#NonFacultyAcademicPosition>    |
| <http://localhost:8080/vivo_i18n/individual/n1158> | <http://localhost:8080/vivo_i18n/individual/n1927> | "Claudia"  | "Martinez" | "Chercheur Associé"          | "Postdoctoral Researcher"     | "Physique"                              | "Physics"                            | <http://vivoweb.org/ontology/core#Position>                      |
| <http://localhost:8080/vivo_i18n/individual/n1158> | <http://localhost:8080/vivo_i18n/individual/n1927> | "Claudia"  | "Martinez" | "Chercheur Associé"          | "Postdoctoral Researcher"     | "Physique"                              | "Physics"                            | <http://vivoweb.org/ontology/core#PostdocPosition>               |
| <http://localhost:8080/vivo_i18n/individual/n128>  | <http://localhost:8080/vivo_i18n/individual/n4109> | "Suzanne"  | "Powell"   | "Professeur Associé"         | "Assistant Professor"         | "Musique"                               | "Music"                              | <http://vivoweb.org/ontology/core#FacultyPosition>               |
| <http://localhost:8080/vivo_i18n/individual/n128>  | <http://localhost:8080/vivo_i18n/individual/n4109> | "Suzanne"  | "Powell"   | "Professeur Associé"         | "Assistant Professor"         | "Musique"                               | "Music"                              | <http://vivoweb.org/ontology/core#Position>                      |
| <http://localhost:8080/vivo_i18n/individual/n1736> | <http://localhost:8080/vivo_i18n/individual/n4085> | "Patricia" | "Roberts"  | "Professeur"                 | "Professor"                   | "Anglais"                               | "English"                            | <http://vivoweb.org/ontology/core#FacultyPosition>               |
| <http://localhost:8080/vivo_i18n/individual/n1736> | <http://localhost:8080/vivo_i18n/individual/n4085> | "Patricia" | "Roberts"  | "Professeur"                 | "Professor"                   | "Anglais"                               | "English"                            | <http://vivoweb.org/ontology/core#Position>                      |
| <http://localhost:8080/vivo_i18n/individual/n6870> | <http://localhost:8080/vivo_i18n/individual/n489>  | "Jasper"   | "Peters"   | "Professeur Associé"         | "Associate Professor"         | "Institut de technologie de Californie" | "California Institute of Technology" | <http://vivoweb.org/ontology/core#FacultyPosition>               |
| <http://localhost:8080/vivo_i18n/individual/n6870> | <http://localhost:8080/vivo_i18n/individual/n489>  | "Jasper"   | "Peters"   | "Professeur Associé"         | "Associate Professor"         | "Institut de technologie de Californie" | "California Institute of Technology" | <http://vivoweb.org/ontology/core#Position>                      |
| <http://localhost:8080/vivo_i18n/individual/n6870> | <http://localhost:8080/vivo_i18n/individual/n7257> | "Jasper"   | "Peters"   | "Professeur"                 | "Professor"                   | "Chimie"                                | "Chemistry"                          | <http://vivoweb.org/ontology/core#FacultyPosition>               |
| <http://localhost:8080/vivo_i18n/individual/n6870> | <http://localhost:8080/vivo_i18n/individual/n7257> | "Jasper"   | "Peters"   | "Professeur"                 | "Professor"                   | "Chimie"                                | "Chemistry"                          | <http://vivoweb.org/ontology/core#Position>                      |
| <http://localhost:8080/vivo_i18n/individual/n6870> | <http://localhost:8080/vivo_i18n/individual/n469>  | "Jasper"   | "Peters"   | "Doyen associé de recherche" | "Associate Dean for Research" | "Collège des Sciences"                  | "College of Science"                 | <http://vivoweb.org/ontology/core#FacultyAdministrativePosition> |
| <http://localhost:8080/vivo_i18n/individual/n6870> | <http://localhost:8080/vivo_i18n/individual/n469>  | "Jasper"   | "Peters"   | "Doyen associé de recherche" | "Associate Dean for Research" | "Collège des Sciences"                  | "College of Science"                 | <http://vivoweb.org/ontology/core#Position>                      |
| <http://localhost:8080/vivo_i18n/individual/n6870> | <http://localhost:8080/vivo_i18n/individual/n1927> | "Jasper"   | "Peters"   | "Professeur"                 | "Professor"                   | "Physique"                              | "Physics"                            | <http://vivoweb.org/ontology/core#FacultyPosition>               |
| <http://localhost:8080/vivo_i18n/individual/n6870> | <http://localhost:8080/vivo_i18n/individual/n1927> | "Jasper"   | "Peters"   | "Professeur"                 | "Professor"                   | "Physique"                              | "Physics"                            | <http://vivoweb.org/ontology/core#Position>                      |
| <http://localhost:8080/vivo_i18n/individual/n725>  | <http://localhost:8080/vivo_i18n/individual/n2837> | "Franklin" | "Pierce"   | "Assistant professeur"       | "Assistant Professor"         | "Histoire"                              | "History"                            | <http://vivoweb.org/ontology/core#FacultyPosition>               |
| <http://localhost:8080/vivo_i18n/individual/n725>  | <http://localhost:8080/vivo_i18n/individual/n2837> | "Franklin" | "Pierce"   | "Professeur Associé"         | "Associate Professor"         | "Histoire"                              | "History"                            | <http://vivoweb.org/ontology/core#FacultyPosition>               |
| <http://localhost:8080/vivo_i18n/individual/n725>  | <http://localhost:8080/vivo_i18n/individual/n2837> | "Franklin" | "Pierce"   | "Professeur"                 | "Professor"                   | "Histoire"                              | "History"                            | <http://vivoweb.org/ontology/core#FacultyPosition>               |
| <http://localhost:8080/vivo_i18n/individual/n725>  | <http://localhost:8080/vivo_i18n/individual/n2837> | "Franklin" | "Pierce"   | "Assistant professeur"       | "Assistant Professor"         | "Histoire"                              | "History"                            | <http://vivoweb.org/ontology/core#Position>                      |
| <http://localhost:8080/vivo_i18n/individual/n725>  | <http://localhost:8080/vivo_i18n/individual/n2837> | "Franklin" | "Pierce"   | "Professeur Associé"         | "Associate Professor"         | "Histoire"                              | "History"                            | <http://vivoweb.org/ontology/core#Position>                      |
| <http://localhost:8080/vivo_i18n/individual/n725>  | <http://localhost:8080/vivo_i18n/individual/n2837> | "Franklin" | "Pierce"   | "Professeur"                 | "Professor"                   | "Histoire"                              | "History"                            | <http://vivoweb.org/ontology/core#Position>                      |
| <http://localhost:8080/vivo_i18n/individual/n733>  | <http://localhost:8080/vivo_i18n/individual/n4085> | "Andrew"   | "Bogart"   | "Professeur Associé"         | "Associate Professor"         | "Anglais"                               | "English"                            | <http://vivoweb.org/ontology/core#FacultyPosition>               |
| <http://localhost:8080/vivo_i18n/individual/n733>  | <http://localhost:8080/vivo_i18n/individual/n4085> | "Andrew"   | "Bogart"   | "Professeur Associé"         | "Associate Professor"         | "Anglais"                               | "English"                            | <http://vivoweb.org/ontology/core#Position>                      |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
