[s]	o
<http://vivoweb.org/ontology/core>	owl:Ontology
core:Abstract	owl:Class
core:AcademicDegree	owl:Class
core:AcademicDepartment	owl:Class
core:AcademicTerm	owl:Class
core:AcademicYear	owl:Class
core:AdministratorRole	owl:Class
core:AdviseeRole	owl:Class
core:AdvisingProcess	owl:Class
core:AdvisingRelationship	owl:Class
core:AdvisorRole	owl:Class
core:Association	owl:Class
core:AttendeeRole	owl:Class
core:AttendingProcess	owl:Class
core:Authorship	owl:Class
core:Award	owl:Class
core:AwardReceipt	owl:Class
core:AwardedDegree	owl:Class
core:Blog	owl:Class
core:BlogPosting	owl:Class
core:Building	owl:Class
core:Campus	owl:Class
core:CaseStudy	owl:Class
core:Catalog	owl:Class
core:Center	owl:Class
core:Certificate	owl:Class
core:Certification	owl:Class
core:ClinicalOrganization	owl:Class
core:ClinicalRole	owl:Class
core:CoPrincipalInvestigatorRole	owl:Class
core:CollectionProcess	owl:Class
core:College	owl:Class
core:Committee	owl:Class
core:Company	owl:Class
core:Competition	owl:Class
core:ConferencePaper	owl:Class
core:ConferencePoster	owl:Class
core:ConferenceSeries	owl:Class
core:Consortium	owl:Class
core:Continent	owl:Class
core:Contract	owl:Class
core:CoreLaboratory	owl:Class
core:Country	owl:Class
core:County	owl:Class
core:Course	owl:Class
core:Credential	owl:Class
core:CurationProcess	owl:Class
core:Database	owl:Class
core:Dataset	owl:Class
core:DateTimeInterval	owl:Class
core:DateTimeValue	owl:Class
core:DateTimeValuePrecision	owl:Class
core:Department	owl:Class
core:Division	owl:Class
core:EditorRole	owl:Class
core:EditorialArticle	owl:Class
core:Editorship	owl:Class
core:EducationalProcess	owl:Class
core:EmeritusFaculty	owl:Class
core:EmeritusLibrarian	owl:Class
core:EmeritusProfessor	owl:Class
core:Equipment	owl:Class
core:EventSeries	owl:Class
core:Exhibit	owl:Class
core:ExtensionUnit	owl:Class
core:F1000Link	owl:Class
core:Facility	owl:Class
core:FacultyAdministrativePosition	owl:Class
core:FacultyMember	owl:Class
core:FacultyMentoringRelationship	owl:Class
core:FacultyPosition	owl:Class
core:Foundation	owl:Class
core:FundingOrganization	owl:Class
core:GeographicLocation	owl:Class
core:GeographicRegion	owl:Class
core:GeopoliticalEntity	owl:Class
core:GeoreferencingProcess	owl:Class
core:GovernmentAgency	owl:Class
core:GraduateAdvisingRelationship	owl:Class
core:GraduateStudent	owl:Class
core:Grant	owl:Class
core:Hospital	owl:Class
core:IdentificationProcess	owl:Class
core:Institute	owl:Class
core:Internship	owl:Class
core:InvestigatorRole	owl:Class
core:InvitedTalk	owl:Class
core:IssuedCredential	owl:Class
core:Laboratory	owl:Class
core:LeaderRole	owl:Class
core:Librarian	owl:Class
core:LibrarianPosition	owl:Class
core:Library	owl:Class
core:License	owl:Class
core:Licensure	owl:Class
core:Location	owl:Class
core:MeasurementProcess	owl:Class
core:MedicalResidency	owl:Class
core:Meeting	owl:Class
core:MemberRole	owl:Class
core:Museum	owl:Class
core:NewsRelease	owl:Class
core:Newsletter	owl:Class
core:NonAcademic	owl:Class
core:NonAcademicPosition	owl:Class
core:NonFacultyAcademic	owl:Class
core:NonFacultyAcademicPosition	owl:Class
core:OrganizerRole	owl:Class
core:OrganizingProcess	owl:Class
core:OutreachProviderRole	owl:Class
core:PeerReviewerRole	owl:Class
core:PopulatedPlace	owl:Class
core:Position	owl:Class
core:Postdoc	owl:Class
core:PostdocOrFellowAdvisingRelationship	owl:Class
core:PostdocPosition	owl:Class
core:PostdoctoralTraining	owl:Class
core:Presentation	owl:Class
core:PresenterRole	owl:Class
core:PresentingProcess	owl:Class
core:PrimaryPosition	owl:Class
core:PrincipalInvestigatorRole	owl:Class
core:PrivateCompany	owl:Class
core:Program	owl:Class
core:Project	owl:Class
core:Publisher	owl:Class
core:Relationship	owl:Class
core:ResearchOrganization	owl:Class
core:ResearchProposal	owl:Class
core:ResearcherRole	owl:Class
core:Review	owl:Class
core:ReviewerRole	owl:Class
core:Room	owl:Class
core:School	owl:Class
core:Score	owl:Class
core:Screenplay	owl:Class
core:SeminarSeries	owl:Class
core:ServiceProvidingLaboratory	owl:Class
core:Speech	owl:Class
core:StateOrProvince	owl:Class
core:Student	owl:Class
core:StudentOrganization	owl:Class
core:SubnationalRegion	owl:Class
core:TeacherRole	owl:Class
core:Team	owl:Class
core:Translation	owl:Class
core:UndergraduateAdvisingRelationship	owl:Class
core:UndergraduateStudent	owl:Class
core:University	owl:Class
core:Video	owl:Class
core:WorkingPaper	owl:Class
core:WorkshopSeries	owl:Class
core:abbreviation	owl:FunctionalProperty
core:abbreviation	owl:DatatypeProperty
core:affiliatedOrganization	owl:ObjectProperty
core:assignedBy	owl:ObjectProperty
core:assignee	owl:ObjectProperty
core:assigneeFor	owl:ObjectProperty
core:assigns	owl:ObjectProperty
core:cclCode	owl:DatatypeProperty
core:conceptAssociatedWith	owl:ObjectProperty
core:confirmedOrcidId	owl:ObjectProperty
core:contactInformation	owl:DatatypeProperty
core:contributingRole	owl:ObjectProperty
core:courseCredits	owl:FunctionalProperty
core:courseCredits	owl:DatatypeProperty
core:dateFiled	owl:ObjectProperty
core:dateIssued	owl:ObjectProperty
core:dateTime	owl:DatatypeProperty
core:dateTimeInterval	owl:ObjectProperty
core:dateTimePrecision	owl:ObjectProperty
core:dateTimeValue	owl:ObjectProperty
core:degreeCandidacy	owl:ObjectProperty
core:departmentOrSchool	owl:DatatypeProperty
core:description	owl:DatatypeProperty
core:distributes	owl:ObjectProperty
core:distributesFundingFrom	owl:ObjectProperty
core:eRACommonsId	owl:DatatypeProperty
core:eligibleFor	owl:ObjectProperty
core:end	owl:ObjectProperty
core:entryTerm	owl:DatatypeProperty
core:equipmentFor	owl:ObjectProperty
core:expirationDate	owl:ObjectProperty
core:facilityFor	owl:ObjectProperty
core:featuredIn	owl:ObjectProperty
core:features	owl:ObjectProperty
core:freetextKeyword	owl:DatatypeProperty
core:fundingVehicleFor	owl:ObjectProperty
core:geographicFocus	owl:ObjectProperty
core:geographicFocusOf	owl:ObjectProperty
core:governingAuthorityFor	owl:ObjectProperty
core:grantDirectCosts	owl:DatatypeProperty
core:grantDirectCosts	owl:FunctionalProperty
core:grantSubcontractedThrough	owl:ObjectProperty
core:hasAssociatedConcept	owl:ObjectProperty
core:hasCollaborator	owl:ObjectProperty
core:hasCollaborator	owl:SymmetricProperty
core:hasEquipment	owl:ObjectProperty
core:hasFacility	owl:ObjectProperty
core:hasFundingVehicle	owl:ObjectProperty
core:hasGoverningAuthority	owl:ObjectProperty
core:hasMonetaryAmount	owl:DatatypeProperty
core:hasPredecessorOrganization	owl:ObjectProperty
core:hasPrerequisite	owl:ObjectProperty
core:hasProceedings	owl:ObjectProperty
core:hasPublicationVenue	owl:ObjectProperty
core:hasResearchArea	owl:ObjectProperty
core:hasSubjectArea	owl:ObjectProperty
core:hasSuccessorOrganization	owl:ObjectProperty
core:hasTranslation	owl:ObjectProperty
core:hasValue	owl:DatatypeProperty
core:hideFromDisplay	owl:DatatypeProperty
core:hideFromDisplay	owl:FunctionalProperty
core:hrJobTitle	owl:DatatypeProperty
core:iclCode	owl:DatatypeProperty
core:identifier	owl:DatatypeProperty
core:informationResourceSupportedBy	owl:ObjectProperty
core:isCorrespondingAuthor	owl:DatatypeProperty
core:isCorrespondingAuthor	owl:FunctionalProperty
core:licenseNumber	owl:DatatypeProperty
core:localAwardId	owl:DatatypeProperty
core:majorField	owl:DatatypeProperty
core:middleName	owl:DatatypeProperty
core:nihmsid	owl:DatatypeProperty
core:offeredBy	owl:ObjectProperty
core:offers	owl:ObjectProperty
core:orcidId	owl:ObjectProperty
core:outreachOverview	owl:DatatypeProperty
core:outreachOverview	owl:FunctionalProperty
core:overview	owl:FunctionalProperty
core:overview	owl:DatatypeProperty
core:patentNumber	owl:DatatypeProperty
